Herb_id,Ingredient_id
HERB001779,HBIN032061
HERB001779,HBIN032101
HERB001779,HBIN032583
HERB001779,HBIN033076
HERB001779,HBIN033083
HERB001779,HBIN033093
HERB001779,HBIN033094
HERB001779,HBIN033098
HERB001779,HBIN033099
HERB001779,HBIN033105
HERB001779,HBIN033107
HERB001779,HBIN033109
HERB001779,HBIN033110
HERB001779,HBIN033114
HERB001779,HBIN033157
HERB001779,HBIN033383
HERB001779,HBIN033768
HERB001779,HBIN034281
HERB001779,HBIN034623
HERB001779,HBIN034629
HERB001779,HBIN034960
HERB001779,HBIN035161
HERB001779,HBIN035246
HERB001779,HBIN035257
HERB001779,HBIN035573
HERB001779,HBIN035670
HERB001779,HBIN035791
HERB001779,HBIN036050
HERB001779,HBIN036366
HERB001779,HBIN036380
HERB001779,HBIN036683
HERB001779,HBIN036760
HERB001779,HBIN036903
HERB001779,HBIN037777
HERB001779,HBIN037827
HERB001779,HBIN037940
HERB001779,HBIN038168
HERB001779,HBIN038485
HERB001779,HBIN039185
HERB001779,HBIN039409
HERB001779,HBIN039411
HERB001779,HBIN039998
HERB001779,HBIN040908
HERB001779,HBIN040966
HERB001779,HBIN041334
HERB001779,HBIN041495
HERB001779,HBIN041709
HERB001779,HBIN042670
HERB001779,HBIN043445
HERB001779,HBIN043672
HERB001779,HBIN043855
HERB001779,HBIN043917
HERB001779,HBIN044016
HERB001779,HBIN044062
HERB001779,HBIN046084
HERB001779,HBIN047563
HERB001779,HBIN047613
HERB001779,HBIN047875
HERB001779,HBIN048051
HERB001779,HBIN048102
HERB001779,HBIN048330
HERB001779,HBIN048417
HERB001779,HBIN048633
HERB002560,HBIN001244
HERB002560,HBIN002016
HERB002560,HBIN003405
HERB002560,HBIN006743
HERB002560,HBIN007848
HERB002560,HBIN008647
HERB002560,HBIN008668
HERB002560,HBIN013410
HERB002560,HBIN014399
HERB002560,HBIN014684
HERB002560,HBIN016564
HERB002560,HBIN017244
HERB002560,HBIN017246
HERB002560,HBIN018006
HERB002560,HBIN018163
HERB002560,HBIN018278
HERB002560,HBIN018494
HERB002560,HBIN019296
HERB002560,HBIN019425
HERB002560,HBIN019690
HERB002560,HBIN020406
HERB002560,HBIN020909
HERB002560,HBIN021608
HERB002560,HBIN021802
HERB002560,HBIN022577
HERB002560,HBIN023522
HERB002560,HBIN024357
HERB002560,HBIN024930
HERB002560,HBIN026332
HERB002560,HBIN026468
HERB002560,HBIN026537
HERB002560,HBIN026662
HERB002560,HBIN027103
HERB002560,HBIN027609
HERB002560,HBIN028048
HERB002560,HBIN028847
HERB002560,HBIN029163
HERB002560,HBIN029382
HERB002560,HBIN029419
HERB002560,HBIN030532
HERB002560,HBIN030735
HERB002560,HBIN031114
HERB002560,HBIN031446
HERB002560,HBIN031753
HERB002560,HBIN032456
HERB002560,HBIN032676
HERB002560,HBIN033339
HERB002560,HBIN033749
HERB002560,HBIN033751
HERB002560,HBIN034281
HERB002560,HBIN035847
HERB002560,HBIN036907
HERB002560,HBIN037272
HERB002560,HBIN037807
HERB002560,HBIN038168
HERB002560,HBIN038680
HERB002560,HBIN040811
HERB002560,HBIN041495
HERB002560,HBIN041916
HERB002560,HBIN042162
HERB002560,HBIN042168
HERB002560,HBIN042670
HERB002560,HBIN044265
HERB002560,HBIN044303
HERB002560,HBIN044426
HERB002560,HBIN044442
HERB002560,HBIN045073
HERB002560,HBIN045261
HERB002560,HBIN047579
HERB002560,HBIN047738
HERB002560,HBIN048715
HERB003482,HBIN000743
HERB003482,HBIN006526
HERB003482,HBIN009785
HERB003482,HBIN014467
HERB003482,HBIN014623
HERB003482,HBIN014693
HERB003482,HBIN018006
HERB003482,HBIN018278
HERB003482,HBIN019212
HERB003482,HBIN022771
HERB003482,HBIN023458
HERB003482,HBIN024164
HERB003482,HBIN027501
HERB003482,HBIN027510
HERB003482,HBIN028141
HERB003482,HBIN029419
HERB003482,HBIN029831
HERB003482,HBIN033170
HERB003482,HBIN035353
HERB003482,HBIN038026
HERB003482,HBIN038680
HERB003482,HBIN039419
HERB003482,HBIN040005
HERB003482,HBIN040908
HERB003482,HBIN041188
HERB003482,HBIN041495
HERB003482,HBIN043445
HERB003482,HBIN044265
HERB003482,HBIN044269
HERB003482,HBIN044303
HERB003482,HBIN044305
HERB003482,HBIN044322
HERB003482,HBIN044613
HERB003482,HBIN044808
HERB003482,HBIN044918
HERB003482,HBIN045261
HERB003482,HBIN046412
HERB003482,HBIN046524
HERB003482,HBIN047613
HERB003482,HBIN047738
HERB003482,HBIN048036
HERB003482,HBIN048047
HERB005412,HBIN003770
HERB005412,HBIN004459
HERB005412,HBIN009374
HERB005412,HBIN010173
HERB005412,HBIN013150
HERB005412,HBIN013460
HERB005412,HBIN014120
HERB005412,HBIN014693
HERB005412,HBIN015934
HERB005412,HBIN016408
HERB005412,HBIN018074
HERB005412,HBIN018278
HERB005412,HBIN019475
HERB005412,HBIN019921
HERB005412,HBIN020909
HERB005412,HBIN021460
HERB005412,HBIN024324
HERB005412,HBIN024930
HERB005412,HBIN025557
HERB005412,HBIN026956
HERB005412,HBIN026964
HERB005412,HBIN026965
HERB005412,HBIN026967
HERB005412,HBIN026969
HERB005412,HBIN026970
HERB005412,HBIN026971
HERB005412,HBIN026972
HERB005412,HBIN026973
HERB005412,HBIN027069
HERB005412,HBIN027471
HERB005412,HBIN027472
HERB005412,HBIN027475
HERB005412,HBIN027488
HERB005412,HBIN027614
HERB005412,HBIN027633
HERB005412,HBIN028378
HERB005412,HBIN028847
HERB005412,HBIN029163
HERB005412,HBIN031100
HERB005412,HBIN033803
HERB005412,HBIN035090
HERB005412,HBIN035606
HERB005412,HBIN038026
HERB005412,HBIN040963
HERB005412,HBIN042343
HERB005412,HBIN045073
HERB005412,HBIN047579
HERB005412,HBIN048342
HERB005412,HBIN048660
HERB006019,HBIN002102
HERB006019,HBIN002161
HERB006019,HBIN003249
HERB006019,HBIN010109
HERB006019,HBIN011464
HERB006019,HBIN012788
HERB006019,HBIN013798
HERB006019,HBIN015469
HERB006019,HBIN015547
HERB006019,HBIN015651
HERB006019,HBIN015672
HERB006019,HBIN015868
HERB006019,HBIN016827
HERB006019,HBIN018094
HERB006019,HBIN018249
HERB006019,HBIN018278
HERB006019,HBIN019239
HERB006019,HBIN019252
HERB006019,HBIN019298
HERB006019,HBIN019336
HERB006019,HBIN019948
HERB006019,HBIN020445
HERB006019,HBIN022407
HERB006019,HBIN022494
HERB006019,HBIN022499
HERB006019,HBIN022506
HERB006019,HBIN022819
HERB006019,HBIN022976
HERB006019,HBIN023132
HERB006019,HBIN026052
HERB006019,HBIN028474
HERB006019,HBIN029163
HERB006019,HBIN029504
HERB006019,HBIN029807
HERB006019,HBIN029837
HERB006019,HBIN030634
HERB006019,HBIN030644
HERB006019,HBIN030834
HERB006019,HBIN031114
HERB006019,HBIN031201
HERB006019,HBIN031753
HERB006019,HBIN032154
HERB006019,HBIN032171
HERB006019,HBIN032172
HERB006019,HBIN032222
HERB006019,HBIN032836
HERB006019,HBIN033265
HERB006019,HBIN033428
HERB006019,HBIN033803
HERB006019,HBIN035117
HERB006019,HBIN035310
HERB006019,HBIN036067
HERB006019,HBIN037273
HERB006019,HBIN037940
HERB006019,HBIN038919
HERB006019,HBIN039419
HERB006019,HBIN040908
HERB006019,HBIN041495
HERB006019,HBIN042106
HERB006019,HBIN042419
HERB006019,HBIN042469
HERB006019,HBIN042470
HERB006019,HBIN042490
HERB006019,HBIN042501
HERB006019,HBIN042670
HERB006019,HBIN042852
HERB006019,HBIN044918
HERB006019,HBIN045104
HERB006019,HBIN045105
HERB006019,HBIN046820
HERB006019,HBIN046960
HERB006019,HBIN047613
HERB006019,HBIN047738
HERB006019,HBIN048033
HERB006568,HBIN006106
HERB006568,HBIN018278
HERB006568,HBIN019475
HERB006568,HBIN019688
HERB006568,HBIN021250
HERB006568,HBIN021252
HERB006568,HBIN024930
HERB006568,HBIN025553
HERB006568,HBIN026766
HERB006568,HBIN026982
HERB006568,HBIN026990
HERB006568,HBIN029313
HERB006568,HBIN029328
HERB006568,HBIN030436
HERB006568,HBIN033339
HERB006568,HBIN034389
HERB006568,HBIN034592
HERB006568,HBIN035345
HERB006568,HBIN036159
HERB006568,HBIN037254
HERB006568,HBIN038026
HERB006568,HBIN038088
HERB006568,HBIN038680
HERB006568,HBIN042172
HERB006568,HBIN042712
HERB006568,HBIN044730
HERB006568,HBIN044918
HERB006568,HBIN047744
HERB006908,HBIN002818
HERB006908,HBIN003093
HERB006908,HBIN003247
HERB006908,HBIN006480
HERB006908,HBIN015139
HERB006908,HBIN015142
HERB006908,HBIN015143
HERB006908,HBIN015151
HERB006908,HBIN015152
HERB006908,HBIN015154
HERB006908,HBIN015158
HERB006908,HBIN015485
HERB006908,HBIN020406
HERB006908,HBIN024745
HERB006908,HBIN025041
HERB006908,HBIN036452
HERB006908,HBIN041903
HERB006908,HBIN044691
HERB006908,HBIN044730
HERB006908,HBIN045073
HERB006908,HBIN045126
HERB006908,HBIN045128
HERB007004,HBIN013562
HERB007004,HBIN018278
HERB007004,HBIN029190
HERB007004,HBIN029196
HERB007004,HBIN033428
HERB007004,HBIN034509
HERB007004,HBIN036067
HERB007004,HBIN036366
HERB007004,HBIN036380
HERB007004,HBIN036642
HERB007004,HBIN037127
HERB007004,HBIN037171
HERB007004,HBIN037640
HERB007004,HBIN040347
HERB007004,HBIN044078
HERB007004,HBIN044087
HERB007004,HBIN048861
HERB007004,HBIN048863
HERB007004,HBIN048982
